record_id,image_url,image_id,taxon_full_name,kingdom,phylum,class,order,family,genus,taxon_id_at_source,set
1845157740,https://www.artsobservasjoner.no/MediaLibrary/2018/4/16a06d57-e238-4bf7-ad2a-c41fee96355b_image.jpg,1845157740_0,Bombylius major,Animalia,Arthropoda,Insecta,Diptera,Bombyliidae,Bombylius,862,train
1845157740,https://www.artsobservasjoner.no/MediaLibrary/2018/4/77abf6ad-4517-43c8-955d-9af59aa5b0b9_image.jpg,1845157740_1,Bombylius major,Animalia,Arthropoda,Insecta,Diptera,Bombyliidae,Bombylius,862,train
1845157740,https://www.artsobservasjoner.no/MediaLibrary/2018/4/8f70d7b9-dd86-45e7-9dd1-df3d74e4a46e_image.jpg,1845157740_2,Bombylius major,Animalia,Arthropoda,Insecta,Diptera,Bombyliidae,Bombylius,862,train
1883202575,https://www.artsobservasjoner.no/MediaLibrary/2018/5/e305afcf-08bf-422f-b552-a3fc08a0f809_image.jpg,1883202575_0,Bombylius major,Animalia,Arthropoda,Insecta,Diptera,Bombyliidae,Bombylius,862,train
2247887818,https://www.artsobservasjoner.no/MediaLibrary/2019/5/2ceee02c-25b8-4b29-ac9d-6e041daecbdc_image.jpg,2247887818_0,Bombylius major,Animalia,Arthropoda,Insecta,Diptera,Bombyliidae,Bombylius,862,train
2252259233,https://www.artsobservasjoner.no/MediaLibrary/2019/6/2f1b8284-84db-47ad-a42c-8633a556af02_image.jpg,2252259233_0,Bombylius major,Animalia,Arthropoda,Insecta,Diptera,Bombyliidae,Bombylius,862,train
2252352043,https://www.artsobservasjoner.no/MediaLibrary/2019/5/eb7381ac-1efa-4720-b1ba-1f0bb4fcc225_image.jpg,2252352043_0,Bombylius major,Animalia,Arthropoda,Insecta,Diptera,Bombyliidae,Bombylius,862,train
2398140558,https://www.artsobservasjoner.no/MediaLibrary/bugs/2009/large/84864.jpg,2398140558_0,Bombylius major,Animalia,Arthropoda,Insecta,Diptera,Bombyliidae,Bombylius,862,train
2398794093,https://www.artsobservasjoner.no/MediaLibrary/bugs/2015/large/498212.jpg,2398794093_0,Bombylius major,Animalia,Arthropoda,Insecta,Diptera,Bombyliidae,Bombylius,862,train
2399755018,https://www.artsobservasjoner.no/MediaLibrary/bugs/2008/large/58934.jpg,2399755018_0,Bombylius major,Animalia,Arthropoda,Insecta,Diptera,Bombyliidae,Bombylius,862,train
2399755018,https://www.artsobservasjoner.no/MediaLibrary/bugs/2008/large/58935.jpg,2399755018_1,Bombylius major,Animalia,Arthropoda,Insecta,Diptera,Bombyliidae,Bombylius,862,train
