record_id,image_url,image_id,taxon_full_name,kingdom,phylum,class,order,family,genus,taxon_id_at_source
1823196115,https://www.artsobservasjoner.no/MediaLibrary/2017/10/bcfec330-0c58-4d01-beeb-f6ad5dc1d9ed_image.jpg,1823196115_0,Chlorophyllum rhacodes,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Agaricaceae,Chlorophyllum,1056
1823196115,https://www.artsobservasjoner.no/MediaLibrary/2017/10/e4ad0e2c-0c34-4d57-906f-05bf86c20b1b_image.jpg,1823196115_1,Chlorophyllum rhacodes,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Agaricaceae,Chlorophyllum,1056
1823196115,https://www.artsobservasjoner.no/MediaLibrary/2017/10/852b3fd6-520e-42be-829c-dcba0e66b82e_image.jpg,1823196115_2,Chlorophyllum rhacodes,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Agaricaceae,Chlorophyllum,1056
1824368855,https://www.artsobservasjoner.no/MediaLibrary/2017/9/508c72d7-e40d-4399-b7e4-6708a8fcc514_image.jpg,1824368855_0,Chlorophyllum rhacodes,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Agaricaceae,Chlorophyllum,1056
1825310670,https://www.artsobservasjoner.no/MediaLibrary/2017/8/308432ad-8c7f-423c-a5f3-1c3c279d3932_image.jpg,1825310670_0,Chlorophyllum rhacodes,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Agaricaceae,Chlorophyllum,1056
1825310670,https://www.artsobservasjoner.no/MediaLibrary/2017/8/0398e8be-46b9-4db1-bb00-4da27747c605_image.jpg,1825310670_1,Chlorophyllum rhacodes,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Agaricaceae,Chlorophyllum,1056
1825429550,https://www.artsobservasjoner.no/MediaLibrary/2017/10/06d6876f-6879-41d5-8038-d11b5639ca61_image.jpg,1825429550_0,Chlorophyllum rhacodes,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Agaricaceae,Chlorophyllum,1056
1825429550,https://www.artsobservasjoner.no/MediaLibrary/2017/10/1ecdd236-1f67-49e8-a837-de116b6648a9_image.jpg,1825429550_1,Chlorophyllum rhacodes,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Agaricaceae,Chlorophyllum,1056
1825429550,https://www.artsobservasjoner.no/MediaLibrary/2017/10/04bbc78f-3b6e-417e-8643-57074c52b830_image.jpg,1825429550_2,Chlorophyllum rhacodes,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Agaricaceae,Chlorophyllum,1056
1884835700,https://www.artsobservasjoner.no/MediaLibrary/2018/7/1f9991e5-6e81-4065-9806-2aa7d9c3dd09_image.jpg,1884835700_0,Chlorophyllum rhacodes,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Agaricaceae,Chlorophyllum,1056
