record_id,image_url,image_id,taxon_full_name,kingdom,phylum,class,order,family,genus,taxon_id_at_source,set
1825591450,https://www.artsobservasjoner.no/MediaLibrary/2017/9/c3cacd72-8100-4e31-9fe3-7fdb7a17be52_image.jpg,1825591450_0,Acolium inquinans,Fungi,Ascomycota,Lecanoromycetes,Lecanorales,Caliciaceae,Acolium,918,train
1825591450,https://www.artsobservasjoner.no/MediaLibrary/2017/9/87778498-e5a5-4282-a443-7b1f2c10c6cc_image.jpg,1825591450_1,Acolium inquinans,Fungi,Ascomycota,Lecanoromycetes,Lecanorales,Caliciaceae,Acolium,918,train
1901003365,https://www.artsobservasjoner.no/MediaLibrary/2018/8/52bc37e5-dde4-442f-9764-a1da906f8252_image.jpg,1901003365_0,Acolium inquinans,Fungi,Ascomycota,Lecanoromycetes,Lecanorales,Caliciaceae,Acolium,918,validation
1933086460,https://www.artsobservasjoner.no/MediaLibrary/2018/8/dbb23cdf-3aac-4265-930d-88b68a3c0a02_image.jpg,1933086460_0,Acolium inquinans,Fungi,Ascomycota,Lecanoromycetes,Lecanorales,Caliciaceae,Acolium,918,train
1933163840,https://www.artsobservasjoner.no/MediaLibrary/2018/9/1e89d72d-ce1a-424f-998f-21d45d74f0e7_image.jpg,1933163840_0,Acolium inquinans,Fungi,Ascomycota,Lecanoromycetes,Lecanorales,Caliciaceae,Acolium,918,train
1933167095,https://www.artsobservasjoner.no/MediaLibrary/2018/10/0824201c-1182-4423-be62-e1645d19339e_image.jpg,1933167095_0,Acolium inquinans,Fungi,Ascomycota,Lecanoromycetes,Lecanorales,Caliciaceae,Acolium,918,train
1933237385,https://www.artsobservasjoner.no/MediaLibrary/2018/9/ea351ee8-31d6-4ab1-b70d-88f53737a8be_image.jpg,1933237385_0,Acolium inquinans,Fungi,Ascomycota,Lecanoromycetes,Lecanorales,Caliciaceae,Acolium,918,train
1949309595,https://www.artsobservasjoner.no/MediaLibrary/2018/12/01a55944-3185-4526-81a9-cee6c1f292ed_image.jpg,1949309595_0,Acolium inquinans,Fungi,Ascomycota,Lecanoromycetes,Lecanorales,Caliciaceae,Acolium,918,train
2027440560,https://www.artsobservasjoner.no/MediaLibrary/2019/2/f44e17ec-366f-4246-90df-28e4cf3fef68_image.jpg,2027440560_0,Acolium inquinans,Fungi,Ascomycota,Lecanoromycetes,Lecanorales,Caliciaceae,Acolium,918,train
2027440560,https://www.artsobservasjoner.no/MediaLibrary/2019/2/5b4d43ff-d2fd-4072-bcca-3414c4083e61_image.jpg,2027440560_1,Acolium inquinans,Fungi,Ascomycota,Lecanoromycetes,Lecanorales,Caliciaceae,Acolium,918,train
