record_id,image_url,image_id,taxon_full_name,kingdom,phylum,class,order,family,genus,taxon_id_at_source,set
1823032010,https://www.artsobservasjoner.no/MediaLibrary/2017/10/a2a72560-ef8f-4bee-bcf4-768deaa13f1b_image.jpg,1823032010_0,Aix galericulata,Animalia,Chordata,Aves,Anseriformes,Anatidae,Aix,129,train
1844193265,https://www.artsobservasjoner.no/MediaLibrary/2018/3/ed64234e-20ef-4e57-b311-3c481acbff96_image.jpg,1844193265_0,Aix galericulata,Animalia,Chordata,Aves,Anseriformes,Anatidae,Aix,129,train
1899708665,https://www.artsobservasjoner.no/MediaLibrary/2018/8/0d5e4fb8-1296-421c-9aeb-50ab732bf3c5_image.jpg,1899708665_0,Aix galericulata,Animalia,Chordata,Aves,Anseriformes,Anatidae,Aix,129,train
1899708665,https://www.artsobservasjoner.no/MediaLibrary/2018/8/e101a51d-c4bb-4666-ae88-0697283d3570_image.jpg,1899708665_1,Aix galericulata,Animalia,Chordata,Aves,Anseriformes,Anatidae,Aix,129,train
2336123513,https://www.artsobservasjoner.no/MediaLibrary/2019/8/740b6682-0853-486c-871f-c7bf9e867934_image.jpg,2336123513_0,Aix galericulata,Animalia,Chordata,Aves,Anseriformes,Anatidae,Aix,129,train
2399166248,https://www.artsobservasjoner.no/MediaLibrary/birds/2009/large/90888.jpg,2399166248_0,Aix galericulata,Animalia,Chordata,Aves,Anseriformes,Anatidae,Aix,129,train
2399166248,https://www.artsobservasjoner.no/MediaLibrary/birds/2009/large/90886.jpg,2399166248_1,Aix galericulata,Animalia,Chordata,Aves,Anseriformes,Anatidae,Aix,129,train
2400018913,https://www.artsobservasjoner.no/MediaLibrary/2016/5/8a758f57-ede7-472f-8d8b-6ec3e6bdd1dd_image.jpg,2400018913_0,Aix galericulata,Animalia,Chordata,Aves,Anseriformes,Anatidae,Aix,129,train
2402283648,https://www.artsobservasjoner.no/MediaLibrary/2017/7/338de053-01e5-4bf8-8c7c-8de004ce4b3c_image.jpg,2402283648_0,Aix galericulata,Animalia,Chordata,Aves,Anseriformes,Anatidae,Aix,129,validation
2405813713,https://www.artsobservasjoner.no/MediaLibrary/birds/2015/large/487899.jpg,2405813713_0,Aix galericulata,Animalia,Chordata,Aves,Anseriformes,Anatidae,Aix,129,train
2406006983,https://www.artsobservasjoner.no/MediaLibrary/birds/2015/large/490670.jpg,2406006983_0,Aix galericulata,Animalia,Chordata,Aves,Anseriformes,Anatidae,Aix,129,validation
2406006983,https://www.artsobservasjoner.no/MediaLibrary/birds/2015/large/490671.jpg,2406006983_1,Aix galericulata,Animalia,Chordata,Aves,Anseriformes,Anatidae,Aix,129,validation
2406006983,https://www.artsobservasjoner.no/MediaLibrary/birds/2015/large/490668.jpg,2406006983_2,Aix galericulata,Animalia,Chordata,Aves,Anseriformes,Anatidae,Aix,129,validation
2410207778,https://www.artsobservasjoner.no/MediaLibrary/birds/2014/large/408540.jpg,2410207778_0,Aix galericulata,Animalia,Chordata,Aves,Anseriformes,Anatidae,Aix,129,train
2410207778,https://www.artsobservasjoner.no/MediaLibrary/birds/2014/large/408539.jpg,2410207778_1,Aix galericulata,Animalia,Chordata,Aves,Anseriformes,Anatidae,Aix,129,train
2410207778,https://www.artsobservasjoner.no/MediaLibrary/birds/2014/large/408538.jpg,2410207778_2,Aix galericulata,Animalia,Chordata,Aves,Anseriformes,Anatidae,Aix,129,train
2410397993,https://www.artsobservasjoner.no/MediaLibrary/2016/4/ff48b15a-2c3a-4830-8e77-47f9f3ab892c_image.jpg,2410397993_0,Aix galericulata,Animalia,Chordata,Aves,Anseriformes,Anatidae,Aix,129,train
2411554108,https://www.artsobservasjoner.no/MediaLibrary/2016/4/f115033a-b8d2-4080-988a-f29763a321b4_image.jpg,2411554108_0,Aix galericulata,Animalia,Chordata,Aves,Anseriformes,Anatidae,Aix,129,train
2411789068,https://www.artsobservasjoner.no/MediaLibrary/birds/2013/large/319037.jpg,2411789068_0,Aix galericulata,Animalia,Chordata,Aves,Anseriformes,Anatidae,Aix,129,train
2411868753,https://www.artsobservasjoner.no/MediaLibrary/birds/2008/large/73836.jpg,2411868753_0,Aix galericulata,Animalia,Chordata,Aves,Anseriformes,Anatidae,Aix,129,train
2412288178,https://www.artsobservasjoner.no/MediaLibrary/2015/6/447aa894-9be3-4d4f-8054-1e2189d48f58_image.jpg,2412288178_0,Aix galericulata,Animalia,Chordata,Aves,Anseriformes,Anatidae,Aix,129,train
2429881303,https://www.artsobservasjoner.no/MediaLibrary/2019/10/7cf522d8-7396-434d-818b-15d00c5c5b52_image.jpg,2429881303_0,Aix galericulata,Animalia,Chordata,Aves,Anseriformes,Anatidae,Aix,129,train
2467848228,https://www.artsobservasjoner.no/MediaLibrary/2019/11/250d0bc7-79ca-4220-8cb3-dd783e052c62_image.jpg,2467848228_0,Aix galericulata,Animalia,Chordata,Aves,Anseriformes,Anatidae,Aix,129,train
2467848228,https://www.artsobservasjoner.no/MediaLibrary/2019/11/39ce54f1-f5bb-4d31-be9a-70976bc8c7e6_image.jpg,2467848228_1,Aix galericulata,Animalia,Chordata,Aves,Anseriformes,Anatidae,Aix,129,train
2467848228,https://www.artsobservasjoner.no/MediaLibrary/2019/11/00c35b3b-a2c9-4f79-9296-746e1c4ce6c3_image.jpg,2467848228_2,Aix galericulata,Animalia,Chordata,Aves,Anseriformes,Anatidae,Aix,129,train
2467848228,https://www.artsobservasjoner.no/MediaLibrary/2019/11/3a92a43c-5698-473e-b7e0-74a3c58e73ba_image.jpg,2467848228_3,Aix galericulata,Animalia,Chordata,Aves,Anseriformes,Anatidae,Aix,129,train
2528913913,https://www.artsobservasjoner.no/MediaLibrary/2019/12/45dd4096-c360-4467-a689-ce3e47f30cee_image.jpg,2528913913_0,Aix galericulata,Animalia,Chordata,Aves,Anseriformes,Anatidae,Aix,129,train
2626998983,https://www.artsobservasjoner.no/MediaLibrary/2020/4/df1b1400-86b8-4a77-b9ca-df71a9a3e421_image.jpg,2626998983_0,Aix galericulata,Animalia,Chordata,Aves,Anseriformes,Anatidae,Aix,129,validation
2627286408,https://www.artsobservasjoner.no/MediaLibrary/2020/4/a0ed3b56-5bed-4f7b-82c4-61528f21c885_image.jpg,2627286408_0,Aix galericulata,Animalia,Chordata,Aves,Anseriformes,Anatidae,Aix,129,train
2631897393,https://www.artsobservasjoner.no/MediaLibrary/2020/5/57abeea5-3c92-4526-8c7d-2927c01ff5b6_image.jpg,2631897393_0,Aix galericulata,Animalia,Chordata,Aves,Anseriformes,Anatidae,Aix,129,train
2815096533,https://www.artsobservasjoner.no/MediaLibrary/2020/6/1acbcb60-71a6-46d5-8c94-61a36134ec4f_image.jpg,2815096533_0,Aix galericulata,Animalia,Chordata,Aves,Anseriformes,Anatidae,Aix,129,train
