,truth,img_highscore,img_highscore_species,img_truescore,img_true_ranking,truth_name,img_highscore_species_name
0,560,0.9990536570549011,560,0.9990536570549011,1,Convallaria majalis,Convallaria majalis
1,560,0.976820707321167,560,0.976820707321167,1,Convallaria majalis,Convallaria majalis
2,560,0.9982024431228638,560,0.9982024431228638,1,Convallaria majalis,Convallaria majalis
3,560,0.5701603889465332,560,0.5701603889465332,1,Convallaria majalis,Convallaria majalis
4,560,0.7672900557518005,560,0.7672900557518005,1,Convallaria majalis,Convallaria majalis
5,560,0.9986805319786072,560,0.9986805319786072,1,Convallaria majalis,Convallaria majalis
6,560,0.992944061756134,560,0.992944061756134,1,Convallaria majalis,Convallaria majalis
7,560,0.9138891696929932,560,0.9138891696929932,1,Convallaria majalis,Convallaria majalis
8,560,0.9718644618988037,560,0.9718644618988037,1,Convallaria majalis,Convallaria majalis
9,560,0.9960427284240723,560,0.9960427284240723,1,Convallaria majalis,Convallaria majalis
10,560,0.9977987408638,560,0.9977987408638,1,Convallaria majalis,Convallaria majalis
11,560,0.8874802589416504,560,0.8874802589416504,1,Convallaria majalis,Convallaria majalis
12,560,0.7818089723587036,560,0.7818089723587036,1,Convallaria majalis,Convallaria majalis
13,560,0.9703471064567566,560,0.9703471064567566,1,Convallaria majalis,Convallaria majalis
14,560,0.9498905539512634,560,0.9498905539512634,1,Convallaria majalis,Convallaria majalis
15,560,0.9506359100341797,560,0.9506359100341797,1,Convallaria majalis,Convallaria majalis
16,560,0.9969218373298645,560,0.9969218373298645,1,Convallaria majalis,Convallaria majalis
17,560,0.28743210434913635,705,0.26390954852104187,2,Convallaria majalis,Corallorhiza trifida
18,560,0.9927091598510742,560,0.9927091598510742,1,Convallaria majalis,Convallaria majalis
19,560,0.981313943862915,560,0.981313943862915,1,Convallaria majalis,Convallaria majalis
20,560,0.9965013265609741,560,0.9965013265609741,1,Convallaria majalis,Convallaria majalis
21,560,0.7714306712150574,560,0.7714306712150574,1,Convallaria majalis,Convallaria majalis
22,560,0.9819985628128052,560,0.9819985628128052,1,Convallaria majalis,Convallaria majalis
23,560,0.9809938669204712,560,0.9809938669204712,1,Convallaria majalis,Convallaria majalis
24,560,0.99817955493927,560,0.99817955493927,1,Convallaria majalis,Convallaria majalis
25,560,0.9987975358963013,560,0.9987975358963013,1,Convallaria majalis,Convallaria majalis
26,560,0.9967779517173767,560,0.9967779517173767,1,Convallaria majalis,Convallaria majalis
27,560,0.9995645880699158,560,0.9995645880699158,1,Convallaria majalis,Convallaria majalis
28,560,0.9894490242004395,560,0.9894490242004395,1,Convallaria majalis,Convallaria majalis
29,560,0.9964805245399475,560,0.9964805245399475,1,Convallaria majalis,Convallaria majalis
30,560,0.6987050771713257,560,0.6987050771713257,1,Convallaria majalis,Convallaria majalis
31,560,0.9917562007904053,560,0.9917562007904053,1,Convallaria majalis,Convallaria majalis
32,560,0.9846935272216797,560,0.9846935272216797,1,Convallaria majalis,Convallaria majalis
33,560,0.9217209219932556,560,0.9217209219932556,1,Convallaria majalis,Convallaria majalis
34,560,0.8846623301506042,560,0.8846623301506042,1,Convallaria majalis,Convallaria majalis
35,560,0.9904406070709229,560,0.9904406070709229,1,Convallaria majalis,Convallaria majalis
36,560,0.9971812963485718,560,0.9971812963485718,1,Convallaria majalis,Convallaria majalis
37,560,0.9996111989021301,560,0.9996111989021301,1,Convallaria majalis,Convallaria majalis
38,560,0.9994572997093201,560,0.9994572997093201,1,Convallaria majalis,Convallaria majalis
39,560,0.9946263432502747,560,0.9946263432502747,1,Convallaria majalis,Convallaria majalis
40,560,0.43293601274490356,705,0.020798128098249435,8,Convallaria majalis,Corallorhiza trifida
41,560,0.5038344264030457,560,0.5038344264030457,1,Convallaria majalis,Convallaria majalis
